NodeA,NodeB,Weights
154,649,1.0
154,791,1.0
154,260,1.0
154,748,0.0
154,12536,0.0
155,766,1.0
155,9905,1.0
155,291,1.0
155,277,1.0
155,577,1.0
155,156,1.0
155,244,1.0
155,296,1.0
155,5452,0.0
155,926,0.0
156,286,1.0
156,5452,1.0
156,521,1.0
156,577,1.0
156,29,1.0
156,277,1.0
156,5868,1.0
156,291,1.0
156,4178,1.0
156,130,1.0
157,158,1.0
157,845,1.0
157,987,1.0
157,9400,1.0
157,659,1.0
157,2656,1.0
157,2935,1.0
157,826,1.0
157,941,0.0
157,3212,0.0
158,987,1.0
158,845,1.0
158,659,1.0
158,157,1.0
158,248,1.0
158,1166,1.0
158,306,1.0
158,4082,1.0
158,752,1.0
158,706,0.0
159,516,1.0
159,8734,1.0
159,1855,1.0
159,8569,1.0
159,7094,1.0
159,1185,1.0
159,3504,1.0
159,5778,1.0
159,318,0.0
159,3419,0.0
160,8921,1.0
160,9256,1.0
160,9143,1.0
160,5328,1.0
160,8378,1.0
160,7164,1.0
160,4200,1.0
160,7778,1.0
160,9710,0.0
160,6152,0.0
161,5429,1.0
161,51,1.0
161,4357,1.0
161,869,1.0
161,4055,1.0
161,5950,1.0
161,4665,1.0
161,4592,1.0
161,4293,1.0
161,5377,1.0
162,767,1.0
162,810,1.0
162,830,1.0
162,449,1.0
162,501,1.0
162,93,1.0
162,12742,1.0
162,771,1.0
162,460,1.0
162,137,1.0
163,322,1.0
163,101,1.0
163,328,1.0
163,1002,1.0
163,147,1.0
163,717,1.0
163,801,1.0
163,314,0.0
